Name of The State ,Name of The District,Name of The Block,Number of Gram Panchayats,Name  of Gram Panchayats,Opening Balance For FY 2019-20,Total Fund Available For  FY 2019-20,Total Expenditure on Wages For FY 2019-20,Total Expenditure On Materials For FY 2019-20,Total Tax Paid For FY 2019-20,Total Admin Expenses  For FY 2019-20,Grand Total Expenditure For FY 2019-20,Total Unspent Balance For FY 2019-20,Total Payment Due For FY 2019-20
Odisha,Nabrangpur,Nabarangpur,8,Chotahandi,1.66,45.22,42.5,1.08,0,0,43.58,1.64,0.56
Odisha,Nabrangpur,Nabarangpur,9,Mantriguda,0.09,26.95,26.88,0.01,0,0,26.89,0.06,0.13
Odisha,Nabrangpur,Nabarangpur,10,Pujariguda,0.25,49.93,49.64,0.06,0,0,49.7,0.23,0.55
Odisha,Nabrangpur,Nabarangpur,11,Sanamosigam,0.22,18.83,18.59,0.02,0,0,18.61,0.22,0.16
Odisha,Nabrangpur,Nabarangpur,12,Sindhigam,-0.17,34.42,34.59,0.01,0,0,34.6,-0.18,0.37
Odisha,Nabrangpur,Nabarangpur,13,Taragam,1.14,30.12,20.02,9.05,0,0,29.06,1.06,0.29
Odisha,Nabrangpur,Nabarangpur,,Total,13.07,489.39,413.62,62.96,0,0,476.58,12.8,4
Odisha,Nabrangpur,Nabarangpur,,Block Level Line Deptt.,-37.74,-37.74,84.48,66.55,0,0,151.03,-188.77,0.72
Odisha,Nabrangpur,Nabarangpur,,Po,3.56,171.05,0,NA,NA,16.38,16.38,154.67,NA
Odisha,Nabrangpur,Nabarangpur,,Grand Total,-21.11,622.7,498.1,129.51,0,16.38,643.99,-21.3,4.72
Odisha,Nabrangpur,Nandahandi,1,B.Maliguda,2.15,57.04,45.89,11.44,0,0,57.34,-0.29,0.18
Odisha,Nabrangpur,Nandahandi,2,Dangarbheja,0.93,59.04,44.39,12.72,0,0,57.11,1.93,2.26
Odisha,Nabrangpur,Nandahandi,3,Dhondra,-0.1,62.4,47.57,14.74,0,0,62.3,0.1,0.88
Odisha,Nabrangpur,Nandahandi,4,Dohona,0.36,69.23,58.64,17.68,0,0,76.32,-7.1,1.29
Odisha,Nabrangpur,Nandahandi,5,Jagannathpur,0.65,41.68,34.12,6.92,0,0,41.03,0.65,0.52
Odisha,Nabrangpur,Nandahandi,6,Jhadbandhguda,-0.39,33.38,28.77,4.98,0,0,33.75,-0.37,0.95
Odisha,Nabrangpur,Nandahandi,7,Mentry,3.55,149.25,84.23,60.09,0,0,144.32,4.93,0.92
Odisha,Nabrangpur,Nandahandi,8,Nandahandi,-0.61,45.39,41.93,3.82,0,0,45.75,-0.36,0.22
Odisha,Nabrangpur,Nandahandi,9,Nishnahandi,0,59.53,40.26,19.61,0,0,59.87,-0.34,3.54
Odisha,Nabrangpur,Nandahandi,10,Podalguda,-0.05,32.63,23.3,9.38,0,0,32.69,-0.05,0.31
Odisha,Nabrangpur,Nandahandi,11,Sindhiguda,-0.16,50.62,47.84,2.78,0,0,50.62,0,0.85
Odisha,Nabrangpur,Nandahandi,,Total,6.33,660.19,496.93,164.16,0,0,661.1,-0.9,11.9
Odisha,Nabrangpur,Nandahandi,,Block Level Line Deptt.,-29.87,-29.87,70.1,86.93,0,0,157.03,-186.9,2.05
Odisha,Nabrangpur,Nandahandi,,Po,39.45,221.98,0,NA,NA,14.44,14.44,207.54,NA
Odisha,Nabrangpur,Nandahandi,,Grand Total,15.91,852.3,567.03,251.09,0,14.44,832.57,19.74,13.95
Odisha,Nabrangpur,Papadahandi,1,Chandrapur,1.91,36.56,26.11,8.38,0.1,0,34.59,1.97,0.39
Odisha,Nabrangpur,Papadahandi,2,Chercheta,-0.39,38.01,34.6,3.64,0.05,0,38.3,-0.29,0.14
Odisha,Nabrangpur,Papadahandi,3,Dengaguda,-6.21,26.41,30.41,2.03,0.03,0,32.47,-6.06,0.28
Odisha,Nabrangpur,Papadahandi,4,Dongra,-1.84,23.64,24.62,0.86,0.01,0,25.49,-1.85,0.58
Odisha,Nabrangpur,Papadahandi,5,Gadabakotra,0,27.2,24.03,3.15,0.02,0,27.2,0,0.41
Odisha,Nabrangpur,Papadahandi,6,Ghataguda,5.78,39.8,18.85,15,0.13,0,33.98,5.82,0.38
Odisha,Nabrangpur,Papadahandi,7,Hatibeda,-1.93,31.58,31.28,2.15,0.01,0,33.44,-1.86,0.3
Odisha,Nabrangpur,Papadahandi,8,Jatabal,-1.57,27.32,18.94,9.88,0.03,0,28.86,-1.54,0.12
Odisha,Nabrangpur,Papadahandi,9,Kantamal,1.41,54.72,28.7,24.3,0.16,0,53.16,1.56,0.53
Odisha,Nabrangpur,Papadahandi,10,Khutubai,-0.11,22.26,21.19,1.04,0,0,22.23,0.03,0.61
Odisha,Nabrangpur,Papadahandi,11,Maidalpur,-2.28,54.37,52.02,4.34,0.03,0,56.39,-2.02,1.24
Odisha,Nabrangpur,Papadahandi,12,Majhiguda,-10.8,80.49,64.26,25.92,0.19,0,90.37,-9.88,1.59
Odisha,Nabrangpur,Papadahandi,13,Manigam,-1.78,94.86,89.2,7.17,0.04,0,96.41,-1.55,0.26
Odisha,Nabrangpur,Papadahandi,14,Mokia,-2.4,78.48,57.71,22.67,0.15,0,80.54,-2.06,0.61
Odisha,Nabrangpur,Papadahandi,15,Naktiguda,-1.17,39.89,24.45,16.2,0.15,0,40.8,-0.91,0.5
Odisha,Nabrangpur,Papadahandi,16,Nuakote,-3.44,40.61,31.46,12.12,0.16,0,43.74,-3.13,0.52
Odisha,Nabrangpur,Papadahandi,17,Papadahandi,-5.72,121.39,56.53,69.49,0.71,0,126.74,-5.35,0.23
Odisha,Nabrangpur,Papadahandi,18,Patri,-3.52,140.89,89.75,54.02,0.45,0,144.22,-3.32,0.97
Odisha,Nabrangpur,Papadahandi,19,Pondikote .,-0.22,97.08,52.57,44.19,0.54,0,97.3,-0.22,1.01
Odisha,Nabrangpur,Papadahandi,20,Sanabarli,-3.32,36.24,24.92,14.4,0.18,0,39.51,-3.27,0.15
Odisha,Nabrangpur,Papadahandi,21,Semala,0.65,28.63,26.33,1.61,0,0,27.95,0.68,0.44
Odisha,Nabrangpur,Papadahandi,22,Sirisi,-3.69,33.71,25.84,11.37,0.13,0,37.34,-3.62,0.27
Odisha,Nabrangpur,Papadahandi,23,Tumberlla,-8.97,93.85,58.46,43.78,0.4,0,102.64,-8.79,1.1
Odisha,Nabrangpur,Papadahandi,,Total,-49.59,1268.01,912.25,397.72,3.69,0,1313.67,-45.66,12.62
Odisha,Nabrangpur,Papadahandi,,Block Level Line Deptt.,-158.93,-158.93,89.63,204.33,2.14,0,296.1,-455.03,1.45
Odisha,Nabrangpur,Papadahandi,,Po,126.87,457.65,0,NA,NA,22.02,22.02,435.63,NA
Odisha,Nabrangpur,Papadahandi,,Grand Total,-81.65,1566.73,1001.88,602.05,5.83,22.02,1631.79,-65.06,14.07
Odisha,Nabrangpur,Raighar,1,Bobei,2.8,47.64,27.15,18.54,0,0,45.68,1.96,0.63
Odisha,Nabrangpur,Raighar,2,Chhelidangari,-2.25,70.56,65.99,7.71,0.16,0,73.86,-3.29,2.47
Odisha,Nabrangpur,Raighar,3,Debagam,-3.51,48.65,38.97,13.21,0,0,52.19,-3.53,3.05
Odisha,Nabrangpur,Raighar,4,Ganjapara,-0.19,62.5,41.58,21.03,0.1,0,62.72,-0.21,0.61
Odisha,Nabrangpur,Raighar,5,Gona,-0.73,35.5,34.76,1.87,0.02,0,36.65,-1.15,0.37
Odisha,Nabrangpur,Raighar,6,Haladi,-3.59,37.33,40.9,0,0,0,40.9,-3.57,0.43
Odisha,Nabrangpur,Raighar,7,Hatabharandi,0.44,32.98,30.11,2.34,0.03,0,32.48,0.5,2.99
Odisha,Nabrangpur,Raighar,8,Hatigam,0,38.19,23.34,28.58,0.23,0,52.15,-13.96,1.12
Odisha,Nabrangpur,Raighar,9,Jalangapara,-1.98,48.81,49.57,1.87,0.02,0,51.46,-2.65,2.1
Odisha,Nabrangpur,Raighar,10,Jodenga,-5.09,34.58,35.18,5.27,0.1,0,40.56,-5.98,0.6
Odisha,Nabrangpur,Raighar,11,Kacharapara,-2.35,76.15,46.11,31.86,0.53,0,78.5,-2.35,0.61
Odisha,Nabrangpur,Raighar,12,Kacharapara-Iii,0,31.8,19,14.45,0.2,0,33.65,-1.85,0.7
Odisha,Nabrangpur,Raighar,13,Kaudola,3.75,47.73,44.51,0,0,0,44.51,3.22,2.44
Odisha,Nabrangpur,Raighar,14,Khuduk,-12.78,18.07,29.93,1.44,0.02,0,31.39,-13.31,3.2
Odisha,Nabrangpur,Raighar,15,Kosakonga,-0.76,32.65,28.81,4.44,0.04,0,33.29,-0.65,0.65
Odisha,Nabrangpur,Raighar,16,Kumuli,-1.87,53.02,48.41,6.5,0.04,0,54.95,-1.92,0.35
Odisha,Nabrangpur,Raighar,17,Kundei,0.27,33.79,24.69,8.92,0.02,0,33.62,0.17,2.2
Odisha,Nabrangpur,Raighar,18,Kurabeda,-2.89,82.46,59.73,25.64,0,0,85.37,-2.91,0.82
Odisha,Nabrangpur,Raighar,19,Mahond,4.25,35.1,28.13,2.72,0.02,0,30.86,4.23,0.97
Odisha,Nabrangpur,Raighar,20,Mundibeda,1.19,109.24,70.51,37.59,0.06,0,108.16,1.08,1.73
Odisha,Nabrangpur,Raighar,21,Naktisimda,2.39,27.8,25.2,0.11,0.01,0,25.32,2.48,4.17
Odisha,Nabrangpur,Raighar,22,Parchipara,-0.19,35.26,29.14,6.16,0,0,35.3,-0.04,2.19
Odisha,Nabrangpur,Raighar,23,Parua,-0.65,44.9,40.92,4.75,0.07,0,45.74,-0.83,0.37
Odisha,Nabrangpur,Raighar,24,Raighar,3.9,52.41,31.54,16.56,0.28,0,48.38,4.03,0.23
Odisha,Nabrangpur,Raighar,25,Timanpur,1.11,142.34,105.4,40.53,0,0,145.94,-3.6,1.02
Odisha,Nabrangpur,Raighar,26,Turudihi,-0.74,29.19,22.74,8.89,0.11,0,31.74,-2.56,0.88
Odisha,Nabrangpur,Raighar,,Total,-19.47,1308.66,1042.34,310.98,2.05,0,1355.36,-46.7,36.93
Odisha,Nabrangpur,Raighar,,Block Level Line Deptt.,-20.61,-20.61,107.29,203.22,1.87,0,312.38,-332.99,6.39
Odisha,Nabrangpur,Raighar,,Po,1.08,382.42,0,NA,NA,42.02,42.02,340.4,NA
Odisha,Nabrangpur,Raighar,,Grand Total,-39,1670.47,1149.63,514.2,3.92,42.02,1709.76,-39.29,43.32
Odisha,Nabrangpur,Tentulikhunti,1,Amalabhatta,-0.56,38.07,31.3,7.32,0.03,0,38.66,-0.59,1.24
Odisha,Nabrangpur,Tentulikhunti,2,Anchalaguma,-6.15,45.01,40.11,11.03,0,0,51.14,-6.12,2.88
Odisha,Nabrangpur,Tentulikhunti,3,Digi,0.51,34.14,29.75,3.47,0,0,33.22,0.92,0.95
Odisha,Nabrangpur,Tentulikhunti,4,Goudadeopalli,-0.44,19.47,16.22,3.69,0,0,19.92,-0.45,0.37
Odisha,Nabrangpur,Tentulikhunti,5,Jhariguma,0.63,36.21,33.41,2.09,0,0,35.5,0.71,0.34
Odisha,Nabrangpur,Tentulikhunti,6,Kamta,-0.44,31.02,24.01,7.45,0,0,31.47,-0.45,0.44
Odisha,Nabrangpur,Tentulikhunti,7,Kantagam,-1.71,52.4,51.63,2.58,0,0,54.22,-1.82,1.11
Odisha,Nabrangpur,Tentulikhunti,8,Kongra,-5.65,72.64,66.02,12.35,0,0,78.38,-5.74,0.48
Odisha,Nabrangpur,Tentulikhunti,9,Kukudabai,0.7,17.48,16.59,0.19,0,0,16.78,0.7,0.82
Odisha,Nabrangpur,Tentulikhunti,10,Lamtaguda,4.49,58.34,41.39,12.46,0,0,53.84,4.5,0.92
Odisha,Nabrangpur,Tentulikhunti,11,Manchagam,-2.09,28.02,25.6,4.52,0,0,30.12,-2.1,1.12
Odisha,Nabrangpur,Tentulikhunti,12,Paraja Barangpadar,-0.11,44.59,32.42,12.29,0,0,44.71,-0.12,0.36
Odisha,Nabrangpur,Tentulikhunti,13,Patraput,-4.22,26.1,30.29,0,0,0,30.29,-4.18,0.82
Odisha,Nabrangpur,Tentulikhunti,14,Pujariguda,-0.21,35.52,33.71,2.49,0,0,36.21,-0.69,1.63
Odisha,Nabrangpur,Tentulikhunti,15,Tentulikhunti,-0.26,31.12,29.52,1.9,0,0,31.41,-0.29,1.78
Odisha,Nabrangpur,Tentulikhunti,,Total,-15.52,570.13,501.97,83.84,0.03,0,585.84,-15.72,15.27
Odisha,Nabrangpur,Tentulikhunti,,Block Level Line Deptt.,-0.74,-0.74,29.16,55.49,0,0,84.65,-85.39,0.88
Odisha,Nabrangpur,Tentulikhunti,,Po,-44.57,55.46,0,NA,NA,21.01,21.01,34.45,NA
Odisha,Nabrangpur,Tentulikhunti,,Grand Total,-60.84,624.85,531.13,139.33,0.03,21.01,691.5,-66.66,16.15
Odisha,Nabrangpur,Umerkote,1,Anchla,0,79.16,38.93,38.79,1.5,0,79.22,-0.06,1.83
Odisha,Nabrangpur,Umerkote,2,Badabharandi,2.48,64.45,49.77,11.22,1.05,0,62.04,2.41,2.14
Odisha,Nabrangpur,Umerkote,3,Badakumari,2.49,112.8,76.13,33.92,0,0,110.05,2.75,0.81
Odisha,Nabrangpur,Umerkote,4,Bakoda,0.54,135.18,107.08,27.25,0,0,134.34,0.85,1.12
Odisha,Nabrangpur,Umerkote,5,Beheda,-0.37,66.27,55.83,10.93,0,0,66.77,-0.5,1.01
Odisha,Nabrangpur,Umerkote,6,Benora,-0.2,64.62,54.1,10.21,0,0,64.31,0.31,0.24
Odisha,Nabrangpur,Umerkote,7,Bhamini,0.13,136.67,84.82,56.06,0,0,140.88,-4.21,1.11
Odisha,Nabrangpur,Umerkote,8,Bhandariguda,1.84,162.07,86.64,70.73,2.95,0,160.32,1.75,1.66
Odisha,Nabrangpur,Umerkote,9,Burja,-0.49,37.24,34.44,3.09,0,0,37.53,-0.29,0.38
Odisha,Nabrangpur,Umerkote,10,Chikalpadar,4.52,113.29,63.08,45.65,0,0,108.73,4.56,1.99
Odisha,Nabrangpur,Umerkote,11,Hirapur,-0.43,69.67,52.11,17.82,0,0,69.93,-0.25,0.7
Odisha,Nabrangpur,Umerkote,12,Jamronda,0,41.58,25.71,15.89,0,0,41.6,-0.01,0.46
Odisha,Nabrangpur,Umerkote,13,Karagam,-1.64,38.77,39.49,0.05,0,0,39.54,-0.77,1.11
Odisha,Nabrangpur,Umerkote,14,Khanda,-0.63,64.7,50.15,15.13,0.09,0,65.38,-0.68,2.01
Odisha,Nabrangpur,Umerkote,15,Kopena,0.39,31.98,30.46,1.15,0,0,31.61,0.37,1.22
Odisha,Nabrangpur,Umerkote,16,Kurshi,0.7,54.41,32.98,20.72,0,0,53.71,0.7,0.1
Odisha,Nabrangpur,Umerkote,17,Mundiguda,0,29.95,24.13,5.53,0.02,0,29.67,0.27,0.79
Odisha,Nabrangpur,Umerkote,18,Murtuma,-4.66,38.62,41.4,1.89,0,0,43.28,-4.66,1
Odisha,Nabrangpur,Umerkote,19,Neura,-0.07,65.67,52.15,13.76,0,0,65.92,-0.24,0.07
Odisha,Nabrangpur,Umerkote,20,Rajpur,1.5,50.72,40.8,8.6,0,0,49.4,1.32,1.94
Odisha,Nabrangpur,Umerkote,21,Semala,-0.55,42.67,21.83,20.46,0.23,0,42.52,0.14,2.31
Odisha,Nabrangpur,Umerkote,22,Singisari,-5.16,46.96,27.26,24.86,0,0,52.12,-5.16,0.24
Odisha,Nabrangpur,Umerkote,23,Sukhigam,0,20.08,19.8,0.29,0,0,20.09,-0.01,2.28
Odisha,Nabrangpur,Umerkote,24,Sunabeda,0.22,55.32,31.44,23.16,0.35,0,54.95,0.37,1.22
Odisha,Nabrangpur,Umerkote,25,Tohara,0,116.8,87.22,29.77,0,0,116.99,-0.19,1.11
Odisha,Nabrangpur,Umerkote,26,Torenga,0,58.53,44.23,14.22,0.56,0,59.02,-0.49,1.55
Odisha,Nabrangpur,Umerkote,,Total,0.58,1798.17,1272,521.15,6.74,0,1799.9,-1.72,30.39
Odisha,Nabrangpur,Umerkote,,Block Level Line Deptt.,-12.03,-12.03,122.29,156.76,0.47,0,279.51,-291.54,3.84
Odisha,Nabrangpur,Umerkote,,Po,-6.94,298.21,0,NA,NA,23.63,23.63,274.58,NA
Odisha,Nabrangpur,Umerkote,,Grand Total,-18.39,2084.35,1394.29,677.91,7.21,23.63,2103.04,-18.68,34.23
Odisha,Nuapara,Boden,1,Babebir,-4.91,29.6,33.52,0.97,0,0,34.49,-4.89,0.26
Odisha,Nuapara,Boden,2,Bhainsadani,-1.12,61.94,62.99,0,0,0,63,-1.06,10.82
Odisha,Nuapara,Boden,3,Boden,-2.07,28.51,30.58,0,0,0,30.58,-2.07,1.23
Odisha,Nuapara,Boden,4,Boirgaon,-4.99,53.96,47.39,11.55,0,0,58.94,-4.98,0.86
Odisha,Nuapara,Boden,5,Damjhar,-3.24,10.88,12.96,1.16,0,0,14.12,-3.24,1.36
Odisha,Nuapara,Boden,6,Farsara,-1.45,18.69,19.63,0.47,0,0,20.1,-1.41,3.05
Odisha,Nuapara,Boden,7,Karangamal,-0.04,31.17,27.2,4.01,0,0,31.21,-0.04,1.63
Odisha,Nuapara,Boden,8,Karlakote,-4.68,49.18,53.59,0.24,0,0,53.83,-4.65,1
Odisha,Nuapara,Boden,9,Khaira,5.25,96.24,85.02,5.97,0,0,90.99,5.25,0.58
Odisha,Nuapara,Boden,10,Larka,-6.76,54.53,57.97,3.18,0,0,61.14,-6.61,0.47
Odisha,Nuapara,Boden,11,Litisargi,-2.86,48.63,49.91,1.58,0,0,51.49,-2.86,2.67
Odisha,Nuapara,Boden,12,Nagpada,-1.56,11.61,13.49,0,0,0,13.49,-1.88,4.21
Odisha,Nuapara,Boden,13,Palsada,0,11.77,11.77,0,0,0,11.77,0,0.73
Odisha,Nuapara,Boden,14,Rokal,-1.63,31.28,32.77,0,0,0,32.77,-1.49,0.43
Odisha,Nuapara,Boden,15,Sunapur,-1.68,40.84,40.16,2.41,0,0,42.57,-1.72,0.95
Odisha,Nuapara,Boden,,Total,-31.74,578.84,578.95,31.55,0,0,610.49,-31.65,30.26
Odisha,Nuapara,Boden,,Block Level Line Deptt.,0,0,55.16,40.8,0.43,0,96.39,-96.39,6.71
Odisha,Nuapara,Boden,,Po,20.33,48.28,0,NA,NA,27.62,27.62,20.66,NA
Odisha,Nuapara,Boden,,Grand Total,-11.41,627.12,634.11,72.35,0.43,27.62,734.5,-107.38,36.97
Odisha,Nuapara,Khariar,1,Areda,-0.03,42.15,41.27,0.91,0,0,42.18,-0.03,0.3
Odisha,Nuapara,Khariar,2,Baddohel,0,22.62,22.64,0,0,0,22.64,-0.01,0.28
Odisha,Nuapara,Khariar,3,Badi,-4.54,8.09,12.62,0,0,0,12.62,-4.54,3.75
Odisha,Nuapara,Khariar,4,Bargaon,-1.22,20.98,20.55,1.65,0,0,22.2,-1.22,0.15
Odisha,Nuapara,Khariar,5,Bhojpur,-0.14,20.8,20.93,0,0,0,20.93,-0.13,0.42
Odisha,Nuapara,Khariar,6,Bhuliasikuan,-0.04,21.31,20.66,0.89,0,0,21.55,-0.24,0.04
Odisha,Nuapara,Khariar,7,Birighat,-4.88,42.9,47.39,0.35,0,0,47.75,-4.86,0.58
Odisha,Nuapara,Khariar,8,Chanabeda,0,38.76,38.76,0,0,0,38.76,0,0.2
Odisha,Nuapara,Khariar,9,Chindaguda,-0.33,21.89,22.13,0.09,0,0,22.23,-0.33,0.03
Odisha,Nuapara,Khariar,10,Dabri,-0.08,32.65,31.89,0.84,0,0,32.73,-0.08,0.19
Odisha,Nuapara,Khariar,11,Dohelpada,0,14.46,14.47,0,0,0,14.47,-0.01,0.08
Odisha,Nuapara,Khariar,12,Duajhar,-0.05,25.31,25.37,0,0,0,25.36,-0.05,0.43
Odisha,Nuapara,Khariar,13,Gardamunda,0,10.95,10.95,0,0,0,10.95,0,0.13
Odisha,Nuapara,Khariar,14,Kendupati,0,17.43,17.46,0,0,0,17.46,-0.03,0.18
Odisha,Nuapara,Khariar,15,Khasbahal,-1.08,22.71,23.44,0.34,0,0,23.78,-1.07,0.19
Odisha,Nuapara,Khariar,16,Khudpej,-0.05,19.13,19.07,0.11,0,0,19.18,-0.05,0.32
Odisha,Nuapara,Khariar,17,Kirikita,-0.2,23.19,22.92,0.46,0,0,23.38,-0.2,0.38
Odisha,Nuapara,Khariar,18,Lanji,-1.23,32.13,31.67,1.68,0,0,33.35,-1.22,0.15
Odisha,Nuapara,Khariar,19,Mandosil,0,41.75,33.66,8.1,0,0,41.75,0,0.39
Odisha,Nuapara,Khariar,20,Nehena,-0.28,24.54,24.82,0,0,0,24.82,-0.28,0.27
Odisha,Nuapara,Khariar,21,Ranimunda,-3.31,26.25,29.56,0,0,0,29.56,-3.31,0.39
Odisha,Nuapara,Khariar,22,Risigaon,0,12.54,12.57,0,0,0,12.57,-0.03,0.28
Odisha,Nuapara,Khariar,23,Sanmaheswar,-0.19,24.69,21.5,3.36,0,0,24.87,-0.18,0.63
Odisha,Nuapara,Khariar,24,Saradhapur,-0.02,30.87,30.89,0,0,0,30.89,-0.02,0.33
Odisha,Nuapara,Khariar,25,Sunarisikuan,0,6.38,6.38,0,0,0,6.38,0,0.12
Odisha,Nuapara,Khariar,26,Tukla,-0.11,25.45,25.24,0.29,0,0,25.53,-0.07,0.4
Odisha,Nuapara,Khariar,,Total,-17.77,629.91,628.79,19.08,0,0,647.88,-17.96,10.61
Odisha,Nuapara,Khariar,,Block Level Line Deptt.,0,0,61.33,59.05,4.2,1.23,125.81,-125.81,4.62
Odisha,Nuapara,Khariar,,Po,13.25,67.76,0,NA,NA,26.9,26.9,40.86,NA
Odisha,Nuapara,Khariar,,Grand Total,-4.52,697.67,690.12,78.13,4.2,28.13,800.59,-102.91,15.23
Odisha,Nuapara,Komna,1,Agren,-0.23,32.85,30.48,2.96,0,0,33.44,-0.6,0.02
Odisha,Nuapara,Komna,2,Bhela,-0.13,17.24,19.23,0,0,0,19.23,-2,0.76
Odisha,Nuapara,Komna,3,Budhikomna,0,29.86,21.47,8.4,0,0,29.87,-0.01,2.62
Odisha,Nuapara,Komna,4,Darlipada,3.83,47.51,43.72,0,0,0,43.72,3.79,0.79
Odisha,Nuapara,Komna,5,Deodhara,0,31.09,31.09,0,0,0,31.09,0,0.17
Odisha,Nuapara,Komna,6,Dhorlamunda,0,34.69,35.2,0,0,0,35.2,-0.51,0.49
Odisha,Nuapara,Komna,7,Gandamer,-2.09,41.46,41.72,2.89,0,0,44.61,-3.15,1.39
Odisha,Nuapara,Komna,8,Jadamunda,-0.49,25.36,26.48,0,0,0,26.48,-1.12,0.07
Odisha,Nuapara,Komna,9,Jatgarh,-0.07,50.07,46.37,3.51,0.48,0,50.37,-0.3,0.15
Odisha,Nuapara,Komna,10,Jhagrahi,-8.09,25.42,27.85,5.93,0,0,33.78,-8.36,0.93
Odisha,Nuapara,Komna,11,Kandetara,0.56,50.19,47.06,2.32,0,0,49.39,0.8,1.5
Odisha,Nuapara,Komna,12,Komna,2.16,22.39,15.71,3.92,0.6,0,20.23,2.16,0.11
Odisha,Nuapara,Komna,13,Konabira,0.25,25.98,25.95,0,0,0,25.95,0.03,0.53
Odisha,Nuapara,Komna,14,Kureswar,-15.81,0.78,14.75,1.85,0,0,16.59,-15.81,0.2
Odisha,Nuapara,Komna,15,Kurumpuri,-0.64,48.4,49.05,0,0,0,49.05,-0.64,1.81
Odisha,Nuapara,Komna,16,Lakhna,-0.23,37.12,36.2,0.99,0.17,0,37.36,-0.23,0.44
Odisha,Nuapara,Komna,17,Maniguda,0,12.07,11.96,0.11,0,0,12.07,0,0.45
Odisha,Nuapara,Komna,18,Michhapali,-1.63,25.13,26.9,0.47,0,0,27.37,-2.24,0.2
Odisha,Nuapara,Komna,19,Mundapala,-5.19,30.94,37.48,0,0,0,37.48,-6.55,0.16
Odisha,Nuapara,Komna,20,Nuagaon,-1.15,32.13,33.93,0,0,0,33.93,-1.8,0.2
Odisha,Nuapara,Komna,21,Palsipani,0,41.91,41.14,1.17,0,0,42.31,-0.4,0.19
Odisha,Nuapara,Komna,22,Pendrawan,-0.38,36.57,37.15,0,0,0,37.15,-0.58,0.35
Odisha,Nuapara,Komna,23,Poinr,0,15.71,14.82,0.85,0.04,0,15.71,0,0.23
Odisha,Nuapara,Komna,24,Rajana,2.41,32.85,29.76,0.67,0,0,30.43,2.42,0.51
Odisha,Nuapara,Komna,25,Samarsing,0.2,27.63,27.43,0,0,0,27.43,0.2,2.67
Odisha,Nuapara,Komna,26,Sialati,-0.77,40.91,42.95,0,0,0,42.95,-2.04,0.6
Odisha,Nuapara,Komna,27,Silva,-11.54,42.48,54.1,0,0,0,54.1,-11.62,2.36
Odisha,Nuapara,Komna,28,Soseng,2.91,16.03,11.68,1.54,0.06,0,13.28,2.75,0.3
Odisha,Nuapara,Komna,29,Sunabeda,1.37,14.23,12.86,0,0,0,12.86,1.37,0.03
Odisha,Nuapara,Komna,30,Tarbod,-0.02,27.39,26.92,0.46,0,0,27.38,0,0.12
Odisha,Nuapara,Komna,31,Thikpali,-0.12,51.81,46.11,7.45,0,0,53.56,-1.75,0.33
Odisha,Nuapara,Komna,32,Tikrapada,-1.18,23.65,20.14,4.49,0.23,0,24.86,-1.2,0.25
Odisha,Nuapara,Komna,,Total,-36.08,991.84,987.66,49.97,1.58,0,1039.22,-47.39,20.94
Odisha,Nuapara,Komna,,Block Level Line Deptt.,0.8,0.8,76.93,59.3,3.61,0,139.83,-139.03,8.49
Odisha,Nuapara,Komna,,Po,101.64,175.04,0,NA,NA,47.8,47.8,127.24,NA
Odisha,Nuapara,Komna,,Grand Total,66.36,1167.68,1064.59,109.27,5.19,47.8,1226.85,-59.18,29.43
Odisha,Nuapara,Nuapada,1,Amanara,7.6,74.68,64.84,1.62,0.29,0,66.75,7.92,0.95
Odisha,Nuapara,Nuapada,2,Amsena,-1.21,29.49,38.36,1.34,0.18,0,39.88,-10.39,0.55
Odisha,Nuapara,Nuapada,3,Beltukri,-1.46,46.58,45.92,2.12,0,0,48.04,-1.46,0.68
Odisha,Nuapara,Nuapada,4,Bhainsatal,0,43.54,41.53,1.98,0.13,0,43.64,-0.1,2.63
Odisha,Nuapara,Nuapada,5,Bhaleswar,8.47,21.86,13.47,0.06,0,0,13.53,8.33,1.08
Odisha,Nuapara,Nuapada,6,Bhanpur,0,25.63,23.15,10.74,1.05,0,34.94,-9.3,1.91
Odisha,Nuapara,Nuapada,7,Bharuamunda,-0.54,39.79,30.02,10.14,1.09,0,41.24,-1.46,0.43
Odisha,Nuapara,Nuapada,8,Biromal,4.02,25.78,21.76,0,0,0,21.76,4.02,1.21
Odisha,Nuapara,Nuapada,9,Bisora,8.56,51,37.94,4.5,0,0,42.44,8.56,1.28
Odisha,Nuapara,Nuapada,10,Boirbhadi,1.07,41.85,40.64,0.14,0,0,40.78,1.07,0.1
Odisha,Nuapara,Nuapada,11,Budhipali,-0.5,32.15,30.23,2.4,0.1,0,32.73,-0.57,2.55
Odisha,Nuapara,Nuapada,12,Chulabhat,0.69,76.31,64.77,8.45,1.08,0,74.3,2.01,0.79
Odisha,Nuapara,Nuapada,13,Darlimunda,1.06,39.51,38.88,0.08,0,0,38.96,0.55,0.03
Odisha,Nuapara,Nuapada,14,Dharambandha,0.93,45.46,39.87,4.72,0,0,44.59,0.87,0.3
Odisha,Nuapara,Nuapada,15,Dumarpani,0.83,15.69,14.79,0,0,0,14.79,0.9,0.12
Odisha,Nuapara,Nuapada,16,Godfula,0.2,38.77,37.69,0.85,0.02,0,38.57,0.21,0.05
